lib	class	type	name	resolution	detail
openssl	OpenSSL::Digest::SHA	.	hexdigest	not-found	クラス自体が解決できず、名前が類似するクラスも見つからなかった / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
openssl	OpenSSL::Digest::SHA	.	new	not-found	クラス自体が解決できず、名前が類似するクラスも見つからなかった / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
openssl	OpenSSL::PKCS7::SignerInfo	#	name	not-found	OpenSSL::PKCS7::SignerInfo は存在するが name はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(OpenSSL::PKCS7::SignerInfo は存在するが name はどの形(instance/singleton/const)でも存在しない)
openssl	OpenSSL::PKey::DH	#	g=	not-found	OpenSSL::PKey::DH 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): p, q / 4.0でも同様に not-found(OpenSSL::PKey::DH 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): p, q)
openssl	OpenSSL::PKey::DH	#	p=	not-found	OpenSSL::PKey::DH 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): g, q / 4.0でも同様に not-found(OpenSSL::PKey::DH 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): g, q)
openssl	OpenSSL::PKey::DH	#	priv_key=	not-found	OpenSSL::PKey::DH 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): p / 4.0でも同様に not-found(OpenSSL::PKey::DH 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): p)
openssl	OpenSSL::PKey::DH	#	pub_key=	not-found	OpenSSL::PKey::DH 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): p / 4.0でも同様に not-found(OpenSSL::PKey::DH 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): p)
openssl	OpenSSL::PKey::DSA	#	g=	not-found	OpenSSL::PKey::DSA 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): p, q / 4.0でも同様に not-found(OpenSSL::PKey::DSA 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): p, q)
openssl	OpenSSL::PKey::DSA	#	p=	not-found	OpenSSL::PKey::DSA 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): g, q / 4.0でも同様に not-found(OpenSSL::PKey::DSA 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): g, q)
openssl	OpenSSL::PKey::DSA	#	priv_key=	not-found	OpenSSL::PKey::DSA 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): p / 4.0でも同様に not-found(OpenSSL::PKey::DSA 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): p)
openssl	OpenSSL::PKey::DSA	#	pub_key=	not-found	OpenSSL::PKey::DSA 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): p / 4.0でも同様に not-found(OpenSSL::PKey::DSA 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): p)
openssl	OpenSSL::PKey::DSA	#	q=	not-found	OpenSSL::PKey::DSA 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): g, p / 4.0でも同様に not-found(OpenSSL::PKey::DSA 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): g, p)
openssl	OpenSSL::PKey::RSA	#	d=	not-found	OpenSSL::PKey::RSA 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): e, n, p / 4.0でも同様に not-found(OpenSSL::PKey::RSA 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): e, n, p)
openssl	OpenSSL::PKey::RSA	#	dmp1=	not-found	OpenSSL::PKey::RSA 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): dmq1, p, d / 4.0でも同様に not-found(OpenSSL::PKey::RSA 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): dmq1, p, d)
openssl	OpenSSL::PKey::RSA	#	dmq1=	not-found	OpenSSL::PKey::RSA 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): dmp1, q, d / 4.0でも同様に not-found(OpenSSL::PKey::RSA 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): dmp1, q, d)
openssl	OpenSSL::PKey::RSA	#	e=	not-found	OpenSSL::PKey::RSA 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): d, n, p / 4.0でも同様に not-found(OpenSSL::PKey::RSA 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): d, n, p)
openssl	OpenSSL::PKey::RSA	#	iqmp=	not-found	OpenSSL::PKey::RSA 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): q, p / 4.0でも同様に not-found(OpenSSL::PKey::RSA 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): q, p)
openssl	OpenSSL::PKey::RSA	#	n=	not-found	OpenSSL::PKey::RSA 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): d, e, p / 4.0でも同様に not-found(OpenSSL::PKey::RSA 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): d, e, p)
openssl	OpenSSL::PKey::RSA	#	p=	not-found	OpenSSL::PKey::RSA 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): d, e, n / 4.0でも同様に not-found(OpenSSL::PKey::RSA 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): d, e, n)
openssl	OpenSSL::PKey::RSA	#	q=	not-found	OpenSSL::PKey::RSA 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): d, e, n / 4.0でも同様に not-found(OpenSSL::PKey::RSA 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): d, e, n)
openssl	OpenSSL::Random	.#	egd	not-found	OpenSSL::Random は存在するが egd はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(OpenSSL::Random は存在するが egd はどの形(instance/singleton/const)でも存在しない)
openssl	OpenSSL::Random	.#	egd_bytes	not-found	OpenSSL::Random は存在するが egd_bytes はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(OpenSSL::Random は存在するが egd_bytes はどの形(instance/singleton/const)でも存在しない)
ostruct	OpenStruct	#	modifiable	not-found	OpenStruct は存在するが modifiable はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(OpenStruct は存在するが modifiable はどの形(instance/singleton/const)でも存在しない)
ostruct	OpenStruct	#	new_ostruct_member	not-found	OpenStruct は存在するが new_ostruct_member はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(OpenStruct は存在するが new_ostruct_member はどの形(instance/singleton/const)でも存在しない)
prism	Prism::Node	#	copy	not-found	Prism::Node は存在するが copy はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(Prism::Node は存在するが copy はどの形(instance/singleton/const)でも存在しない)
prism	Prism::Node	#	deconstruct_keys	not-found	Prism::Node 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): deconstruct / 4.0でも同様に not-found(Prism::Node 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): deconstruct)
pstore	PStore::DummyMutex	#	synchronize	not-found	クラス自体が解決できず、名前が類似するクラスも見つからなかった / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
psych	Kernel	#	y	needs-require:psych/y	base require のみでは no-method だったが、追加 require (psych/y) 適用後は Kernel#y が # として解決した
rake	Kernel	#	desc	renamed-class:Rake::DSL	Kernel の関数として文書化されているが、plain require だけでは Kernel/Object に現れない。実体は Rake::DSL(自身で定義する private メソッド)。実行文脈(コマンド実行時に self へ extend される等)で初めてトップレベルから呼べる種類のメソッドと推定(他に無関係な同名メソッドを持つモジュールが1件あるが除外)
rake	Kernel	#	directory	renamed-class:Rake::DSL	Kernel の関数として文書化されているが、plain require だけでは Kernel/Object に現れない。実体は Rake::DSL(自身で定義する private メソッド)。実行文脈(コマンド実行時に self へ extend される等)で初めてトップレベルから呼べる種類のメソッドと推定(他に無関係な同名メソッドを持つモジュールが1件あるが除外)
rake	Kernel	#	file	renamed-class:Rake::DSL	Kernel の関数として文書化されているが、plain require だけでは Kernel/Object に現れない。実体は Rake::DSL(自身で定義する private メソッド)。実行文脈(コマンド実行時に self へ extend される等)で初めてトップレベルから呼べる種類のメソッドと推定(他に無関係な同名メソッドを持つモジュールが1件あるが除外)
rake	Kernel	#	file_create	renamed-class:Rake::DSL	Kernel の関数として文書化されているが、plain require だけでは Kernel/Object に現れない。実体は Rake::DSL(自身で定義する private メソッド)。実行文脈(コマンド実行時に self へ extend される等)で初めてトップレベルから呼べる種類のメソッドと推定
rake	Kernel	#	import	renamed-class:Rake::DSL	Kernel の関数として文書化されているが、plain require だけでは Kernel/Object に現れない。実体は Rake::DSL, Rake::FileList(自身で定義する private メソッド)。実行文脈(コマンド実行時に self へ extend される等)で初めてトップレベルから呼べる種類のメソッドと推定
rake	Kernel	#	multitask	renamed-class:Rake::DSL	Kernel の関数として文書化されているが、plain require だけでは Kernel/Object に現れない。実体は Rake::DSL(自身で定義する private メソッド)。実行文脈(コマンド実行時に self へ extend される等)で初めてトップレベルから呼べる種類のメソッドと推定
rake	Kernel	#	namespace	renamed-class:Rake::DSL	Kernel の関数として文書化されているが、plain require だけでは Kernel/Object に現れない。実体は Rake::DSL(自身で定義する private メソッド)。実行文脈(コマンド実行時に self へ extend される等)で初めてトップレベルから呼べる種類のメソッドと推定(他に無関係な同名メソッドを持つモジュールが1件あるが除外)
rake	Kernel	#	rule	renamed-class:Rake::DSL	Kernel の関数として文書化されているが、plain require だけでは Kernel/Object に現れない。実体は Rake::DSL(自身で定義する private メソッド)。実行文脈(コマンド実行時に self へ extend される等)で初めてトップレベルから呼べる種類のメソッドと推定
rake	Kernel	#	task	renamed-class:Rake::DSL	Kernel の関数として文書化されているが、plain require だけでは Kernel/Object に現れない。実体は Rake::DSL(自身で定義する private メソッド)。実行文脈(コマンド実行時に self へ extend される等)で初めてトップレベルから呼べる種類のメソッドと推定
rake	Rake::Cloneable	#	clone	not-found	クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。Rake::Cloneable を include する具象クラス(Rake::FileList)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界) / 4.0でも同様に not-found(クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。Rake::Cloneable を include する具象クラス(Rake::FileList)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界))
rake	Rake::Cloneable	#	dup	not-found	クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。Rake::Cloneable を include する具象クラス(Rake::FileList)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界) / 4.0でも同様に not-found(クラス自体は存在するが直接の method_defined? では不在(mixin/append_features 由来と推定)。Rake::Cloneable を include する具象クラス(Rake::FileList)では実際に機能している= ドキュメント自体は妥当な可能性が高い(自動チェックの限界))
rake	Rake::TaskManager	#	last_comment	not-found	Rake::TaskManager は存在するが last_comment はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(Rake::TaskManager は存在するが last_comment はどの形(instance/singleton/const)でも存在しない)
resolv-replace	SOCKSSocket	.	new	not-found	クラス自体が解決できず、名前が類似するクラスも見つからなかった / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
rexml/document	REXML::Formatters::Transitive	.	new	not-found	クラス自体が解決できず、名前が類似するクラスも見つからなかった / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
ripper/filter	Ripper::Filter	#	on_XXX	not-found	Ripper::Filter は存在するが on_XXX はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(Ripper::Filter は存在するが on_XXX はどの形(instance/singleton/const)でも存在しない)
rss	DublinCoreModel	#	dc_contributor	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_contributor=	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_contributors	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_coverage	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_coverage=	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_coverages	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_creator	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_creator=	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_creators	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_date	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_date=	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_dates	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_description	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_description=	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_descriptions	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_format	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_format=	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_formats	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_identifier	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_identifier=	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_identifiers	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_language	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_language=	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_languages	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
rss	DublinCoreModel	#	dc_publisher	renamed-class:RSS::DublinCoreModel	RSS::DublinCoreModel 自体への method_defined? では不在だが、これを include する具象クラス(RSS::Atom::Feed, RSS::Rss::Channel::Item, RSS::Atom::Entry, RSS::TaxonomyTopicModel::TaxonomyTopic, RSS::RDF::Channel, RSS::ImageItemModel::ImageItem, RSS::Rss::Channel, RSS::RDF::Textinput, RSS::RDF::Item, RSS::RDF::Image, RSS::ImageFaviconModel::ImageFavicon, RSS::Atom::Feed::Entry)では実在(append_features 等の動的注入によるものと推定)
